,text_clean,coding
Unnamed: 0,0,1
0,international community,security
1,must therefore focus giving power,un
2,sector debt relief increased aid channelled,development
3,confidence personal abilities high,development
4,ratifications japan european,security
5,solution,security
6,council,un
7,constitution interim iraqi government,security
8,relief efforts needed long time come,development
9,certain victory achieved peoples still labouring yoke racism peoples south africa zimbabwe namibia liberated,security
10,united nations committees area,un
11,must emphasized population policy must preserve intact dignity human couple decisions alone make furthermore matter concerned widely differing views expressed highly developed countries developing countries,development
12,perennial,development
13,hours journey away headquarters lies seething continent cut means communication banished attention powerful currently epicentre events one way another make us actors tragedy,security
14,know living world undergoing,un
15,greece federal republic yugoslavia,security
16,expect,un
17,prevent us useful constructive relationship important country region,development
18,council supervising guarantees peace,security
19,exercised united states america towards,security
20,assembly,un
21,countries need renewed vision,security
22,nato one albanias strategic objectives,security
23,agency collaborative arrangements feel,un
24,legacy colonialism,security
25,generals initiative mainstream human rights,human
26,exploration peaceful uses outer,greeting
27,importance establishment lasting peace,security
28,consequently juridical regulation seeks embody sanctions acts violence international repercussions cannot disregard fundamental ideas,security
29,important goal integration answer,development
30,sustainable development activities addressing,development
31,session hope concept,security
32,instrument would offer unconditional legally,security
33,children rests peoples deep conviction,greeting
34,speaking powerful new weapon certain industrialized countries try exert pressure bilaterally well multilateral level namely tying financial operations circumstances domestic policy recipient countries,development
35,launching process african union,un
36,peaceful coexistence tolerance compassion among,greeting
37,true desire change united,security
38,heart multilateral diplomacy search,greeting
39,technology capacitybuilding,development
40,secretarygeneral leadership commitment,un
41,according gini coefficient country,development
42,interdependence among states,security
43,concerted efforts indispensable bring war iran iraq end,security
44,systems remainder repaired,security
45,human security,human
46,million people northeastern nigeria south sudan yemen somalia face famine need urgent assistance million people including million children suffer chronic malnutrition countries immense quantities animal plant products destroyed sake narrow blind economic commercial considerations,security
47,developments clearly demonstrate,development
48,inconsistency penalizes individual,security
49,nations global family,development
50,attaches paramount importance future organization need secure objectives develop machinery institutions may become envisaged authors charter united nations framework world look towards better future permanent peace,un
51,assembly,un
52,columbus come result medley old new cultures,un
53,individually long government properly performs duties towards,un
54,adjust united nations new realities,un
55,economic social conditions chaos,development
56,think big powers big bangs,un
57,arms adulation force born illusion justice,security
58,delegation believes independence territories long overdue,un
59,however,un
60,treaty could provide,security
61,kazakhstan,development
62,government grenada already begun,democracy
63,nicaragua continue symbol hope,security
64,right selfdetermination bury disputes western,security
65,launched within framework reform,un
66,caused radical increase protectionism,security
67,first,un
68,conducive negotiations,development
69,government never claimed pretensions set judge political events affairs countries wishes maintain friendly relations government national reconstruction nicaragua within framework sincere cooperation mutual respect central american states whose people constitute one family put better one nation full sense word,democracy
70,establishing middle east zone free weapons,security
71,reform agenda,un
72,hand practical point,un
73,becomes uncontrollable,security
74,significant achievements raising statistical indicators,development
75,often result collective failure condemn properly react violations,un
76,demanding task,development
77,many social political conditions result,development
78,welcome open arms various forms mediation,security
79,thus welcomed numerous examinations human,greeting
80,promote internet freedom important element,greeting
81,therefore strongly support,development
82,nations currently experiencing considerable strain,development
83,makes hope principle peaceful coexistence nonuse force relations countries raised status immutable law international life appear realistic,security
84,interaction interrelationship interdependence,un
85,including morocco economic community,development
86,providing new additional resources,security
87,possible,un
88,surplus,development
89,police rule law welcome focus,security
90,situation constant flux dynamic,development
91,noble precepts,development
92,barbados recognizes critical need,development
93,inclusive political process reflects wishes,un
94,deficiencies also tolerance impunity,security
95,economic conditions imposed upon third world magnitude developed nations dare impose bilaterally,development
96,war two neighbors iran iraq raging grievous consequences,security
97,achieved sincere desire peace faith shared interests common destiny mankind,security
98,behalf nicaraguan delegation sir like express satisfaction election president thirtyninth session general assembly,greeting
99,man shun new duties loom path would first address,un
100,human dignity,human
101,collectively political moral strength face challenges times dedication courage success within reach,un
102,states,un
103,future,development
104,first last two years period extended five times recently september,security
105,longer,development
106,international cooperation fight transnational crime levels top priority timorleste,security
107,refrain actions may destabilize,security
108,speaking main problems ail mankind,greeting
109,evident,development
110,challenge nationbuilding huge,development
111,panamanian reiterate world organization,security
112,women receive equal pay equal work systematically prevented obtaining education reaching full potential human beings citizens,development
113,rights allowed encouraging progress made,human
114,wish make point however interest developed countries support efforts adequate complementary measures since development lead stability increased purchasing power therefore better atmosphere trade development lessening world tension,development
115,words europe position lecture others actions,security
116,summit said tolerance respect,greeting
117,would like dwell,un
118,hindering procurement even spare parts minor supplies defence,security
119,highlevel plenary meeting platform build,development
120,republic haiti would happy see united nations set,un
121,however shared responsibility,development
122,leadership majesty king national commission bhutan drawn plan action,democracy
123,latter continue understand sovereignty,security
124,last year,greeting
125,alternative peoples region,human
126,families suffered result,security
127,cooperation,development
128,campaign orchestrated international vested interests feel threatened economic success mauritius jealous rivals unable emulate mauritian miracle,development
129,developing countries fiscal financial,development
130,facing new moment imperial,security
131,must,un
132,nations system cannot police world,development
133,whatever character shape,un
134,maintaining anomalous positions,un
135,responsibility unity solidarity amongst members,security
136,israel continues hold sway territories seized,security
137,greet people makes cult language rigorous living expression essential national qualities,security
138,states including israel live within recognized,security
139,believe general assembly,un
140,easy task becomes even difficult,security
141,nevertheless express hope recent separation west bank kingdom jordan enhance cause palestinian people rightful claim sovereign homeland,security
142,fund,un
143,rivalry constantly rocked world,security
144,success carrying difficult noble tasks,greeting
