,doc_id,text,country,year
1010360,SEN_53_1998.txt.89,"because the Statute of the Court, which we solemnly",SEN,1998
578329,IDN_47_1992.txt.223,"problems are global in nature, they cannot be solved through short-term relief",IDN,1992
372013,GHA_38_1983.txt.164,96.,GHA,1983
1581450,SYC_63_2008.txt.187,change on our planet.,SYC,2008
371090,FIN_38_1983.txt.84,The supply and use of nuclear materials for peaceful purposes and the prevention of the proliferation of nuclear weapons are necessary complements of each other.,FIN,1983
222423,YUG_34_1979.txt.128,We are profoundly convinced that the full and inviolable sovereignty of nations is the supreme law of international relations.,YUG,1979
1833390,CMR_68_2013.txt.22,"diplomacy, which was made clear when he presided",CMR,2013
1863007,OMN_68_2013.txt.136,In the light of our commitment to achieve the,OMN,2013
842130,FRA_51_1996.txt.435,"Here, too, the United Nations has an important role",FRA,1996
30200,TUN_26_1971.txt.107,You have made much of the scale of values which leads the antagonists to negotiate with each other.,TUN,1971
1350677,LSO_59_2004.txt.20,Never before has our world been so insecure or,LSO,2004
552522,URY_46_1991.txt.27,"But the international community cannot, remain aloof if nothing succeeds in preventing confrontation between peoples who do not wish to live under a common State system and if hatred, violence and fighting become the main features of their relations.",URY,1991
710779,IND_49_1994.txt.368,international community must also provide the necessary,IND,1994
1572570,NZL_63_2008.txt.225," Finally, let me reiterate the importance that New",NZL,2008
1965238,LUX_71_2016.txt.137,Israel has the right to live in peace and security.,LUX,2016
1536958,ARG_63_2008.txt.1,As the first female head of State in the,ARG,2008
1485483,BEN_62_2007.txt.62, We have indeed made considerable progress since,BEN,2007
1171284,EGY_56_2001.txt.78,"be successful, it must extend to all aspects of life,",EGY,2001
1050129,GTM_54_1999.txt.349,"the countries of the region, including a future Palestinian",GTM,1999
623287,COM_48_1993.txt.323,world as it is today.,COM,1993
632498,FSM_48_1993.txt.331,thorough study of the encumbrances to full opportunity and,FSM,1993
812494,TCD_50_1995.txt.128,These measures,TCD,1995
1269107,BDI_58_2003.txt.86,the rights of citizens; and so on.,BDI,2003
1780722,FJI_67_2012.txt.163,"elections in Timor-Leste early this year, UNMIT will be",FJI,2012
1179986,IRL_56_2001.txt.292,generous programme of support for the post-military,IRL,2001
1394028,GNB_60_2005.txt.62,contribute to the existence and proliferation of conflicts,GNB,2005
1442835,FJI_61_2006.txt.106, Where there are potential internal crises and,FJI,2006
1265917,ZWE_57_2002.txt.15,remiss if I did not pay tribute to the United Nations for,ZWE,2002
324561,LUX_37_1982.txt.296,rule when food surpluses are being improperly,LUX,1982
287456,BWA_37_1982.txt.32,Secretary- General joins this line of succession,BWA,1982
1926692,SLB_69_2014.txt.285,The Ebola disease has halted,SLB,2014
1077345,PRY_54_1999.txt.77,With the establishment,PRY,1999
1021468,VUT_53_1998.txt.216,turn the page of this century and start a new one.,VUT,1998
794279,MKD_50_1995.txt.264,"This year the General Assembly, under item 81 of",MKD,1995
451665,MWI_41_1986.txt.16,Reports that the discussions between them were cordial and constructive ware encouraging.,MWI,1986
982534,HRV_53_1998.txt.158,entire territory.,HRV,1998
206468,GRD_34_1979.txt.145,"As sovereign Governments we are separately responsible for our own programmes of economic transformation, but our international solidarity and co-operation are critical for meeting our goals.",GRD,1979
688239,BGR_49_1994.txt.322,the forthcoming Treaty on the Non-Proliferation of Nuclear,BGR,1994
916450,IDN_52_1997.txt.185,arms race and its attendant risk of global disaster.,IDN,1997
1969535,SOM_71_2016.txt.27,"Therefore, the Somali Government and the people — the ultimate stakeholders and beneficiaries of progress in the country — are stepping up to the many challenges so as to ensure that our country and people fulfil their potential and that of their beautiful and rich home.",SOM,2016
1416470,SGP_60_2005.txt.51,"relationships and giving rise to a variety of responses,",SGP,2005
1042700,ESP_54_1999.txt.173,"(MONUA) until its recent termination, and is now",ESP,1999
497515,AUT_44_1989.txt.96,The linkage between the effective employment of regional responsibilities and of the authority of the UN may become an exemplary case of regional peace-making.,AUT,1989
1855865,MDG_68_2013.txt.171,like convey as its contribution to this general debate,MDG,2013
1023864,ALB_54_1999.txt.245,the source of human catastrophes and remain one of the,ALB,1999
794661,MLI_50_1995.txt.333,"country, which has experienced the effects of drought and",MLI,1995
352641,TUR_37_1982.txt.144,an equal footing with the other interested,TUR,1982
1940204,BEL_70_2015.txt.80,We have to tell it like it is — neither rockets nor illegal settlements can pave the way to that vital goal.,BEL,2015
650218,LUX_48_1993.txt.157,towards the definitive abolition of apartheid.,LUX,1993
1622360,LUX_64_2009.txt.315,course towards sustainable development and green,LUX,2009
1635212,SEN_64_2009.txt.226,"statement of the Secretary-General, we now find",SEN,2009
1540791,BHS_63_2008.txt.165,reform with a view to expanding the membership of,BHS,2008
428665,KHM_40_1985.txt.171,"""Cambodian refugees reaching Thailand have said civilians are also being used as 'human mine detectors'.",KHM,1985
1648224,ZMB_64_2009.txt.166,forces in the eastern part of the Democratic Republic of,ZMB,2009
1692298,SMR_65_2010.txt.150,That requires developing specific,SMR,2010
1453709,KOR_61_2006.txt.54, The proliferation of weapons of mass destruction,KOR,2006
150556,DDR_32_1977.txt.132,We welcome and appreciate the endeavours of the Soviet .,DDR,1977
914262,GRD_52_1997.txt.209,13,GRD,1997
702658,FJI_49_1994.txt.108,programmes.,FJI,1994
327481,MLT_37_1982.txt.190,subjects.,MLT,1982
1657069,CAN_65_2010.txt.15,this Organization; that same United Nations Charter,CAN,2010
515532,VEN_44_1989.txt.26,The efforts we can all make to solve the debt problem cannot be divorced from the general evolution of relations between the third world and the industrialized countries.,VEN,1989
432525,OMN_40_1985.txt.104,The excellent international spirit that confronted famine and drought in Africa should be an incentive for the initiation of a constructive dialog between North and South that can lead to the establishment of a new economic edifice in harmony with the hopes of the peoples of the world on this fortieth anniversary of the United Nations.,OMN,1985
499340,BWA_44_1989.txt.18,"As I mentioned earlier, significant progress has been registered in international politics.",BWA,1989
1105709,CZE_55_2000.txt.69,"reform, primarily of the Security Council.",CZE,2000
399876,FJI_39_1984.txt.69,"Without any meaningful agreement, the arms race will continue.",FJI,1984
1752050,SSD_66_2011.txt.56,post-conflict mission as one of construction rather than,SSD,2011
1202495,SLV_56_2001.txt.33,represented here should not allow minority groups to,SLV,2001
1270841,BGR_58_2003.txt.16,remarkable efforts of the men and women who work,BGR,2003
1182390,JPN_56_2001.txt.27,"States on 11 September, who have left behind loving",JPN,2001
991694,LBY_53_1998.txt.307,"It seems believable that, as has been demonstrated in",LBY,1998
636834,GUY_48_1993.txt.477,produces fine resolutions but precious little by way of,GUY,1993
1879593,VCT_68_2013.txt.92,"2015 development agenda, we must also discuss the",VCT,2013
1673004,JPN_65_2010.txt.153,country that has ever suffered the devastation of atomic,JPN,2010
430158,MLI_40_1985.txt.15,"Indeed, while the underlying hypothesis of the Charter was the idea of justice and co-operation, so far short-term national interests have prevailed over the common weal.",MLI,1985
1354759,MMR_59_2004.txt.303,"first session, the Convention adjourned on 9 July.",MMR,2004
234491,IRL_35_1980.txt.341,"Indeed, as a result of what is happening in Northern Ireland, my Government now spends on security alone proportionately more than the United Kingdom on similar measures.",IRL,1980
587425,MDG_47_1992.txt.51,"conference on the Middle East has shown signs of rather positive developments,",MDG,1992
1296499,LUX_58_2003.txt.280,"The third dimension is financing for development,",LUX,2003
530668,PRT_45_1990.txt.88,"We have followed and supported the political and economic reforms under way in the Soviet Union, -which are a testimony to President Gorbachev's realism and an important contribution to the new world climate.",PRT,1990
779735,IND_50_1995.txt.7,my thanks to the President of the General Assembly at its,IND,1995
886581,VNM_51_1996.txt.289,In addition to expanding its relations with,VNM,1996
1394772,GRD_60_2005.txt.239,"fact, the annual estimate of the economic value to",GRD,2005
1690308,SDN_65_2010.txt.124,universalize reconciliation and establish justice for all,SDN,2010
216666,RUS_34_1979.txt.153,"Progress has been achieved in the negotiations between the Soviet Union, the United States and the United Kingdom on the complete and general prohibition of nuclear-weapon tests.",RUS,1979
263332,JOR_36_1981.txt.161,In this connection I quote from the Holy Koran:,JOR,1981
570386,EST_47_1992.txt.94,"reside in Estonia as a result of Soviet occupation to be Russian citizens,",EST,1992
228390,CSK_35_1980.txt.61,"It is in this sense that we interpret the whole set of proposals by the Soviet Union contained in the memorandum entitled ""peace, disarmament and international security guarantees"", and, in particular, the initiative submitted here by Andrei Andreevich Gromyko proposing the inclusion in the agenda of this session of a new item entitled ""Urgent measures for reducing the danger of war"".",CSK,1980
1246743,MWI_57_2002.txt.93,tons caused by two years of a paradoxical combination,MWI,2002
1370410,TJK_59_2004.txt.29,hatred and stability put an end to suspicion — a society,TJK,2004
1827992,BHS_68_2013.txt.161,of social stability for the countries of our region.,BHS,2013
484089,GBR_43_1988.txt.159,"We can extend our co-operation into new areas to deal with new challenges to international peace and stability, challenges which postdate the creation of the United Nations itself.",GBR,1988
1852000,KWT_68_2013.txt.291,equitable solutions to the global threats and challenges,KWT,2013
1153155,UKR_55_2000.txt.171,based on the principle of “acquired status” acceptable,UKR,2000
1904511,IND_69_2014.txt.447,things for future generations.,IND,2014
731850,OMN_49_1994.txt.227,considerable progress in Iraq’s implementation of the,OMN,1994
1830317,BRB_68_2013.txt.124,of poverty reduction and debt sustainability”,BRB,2013
473433,SEN_42_1987.txt.42,"In 1987, despite the heavy burden of debt-servicing, which accounts for 40 per cent of budget income and almost 25 per cent of export earnings, the deficit is now only 1 per cent of the gross national product, and there has been a sharp drop in the commitments of the public authorities to the banking system and enterprises,",SEN,1987
94657,SLV_29_1974.txt.90,The proposal is conceived in terms which suggest that direct aggression is the only possible type of aggression.,SLV,1974
1846970,IRL_68_2013.txt.217,"sustainable, just and secure world for the future.",IRL,2013
1243124,MDA_57_2002.txt.127,the United Nations and calling on it to shoulder its,MDA,2002
600845,STP_47_1992.txt.25,common desire to create a new world order based on respect for the legitimate,STP,1992
1632549,PRK_64_2009.txt.174,and selective sanctions will never be recognized or,PRK,2009
1134657,MYS_55_2000.txt.243,It,MYS,2000
1341119,GNQ_59_2004.txt.188,community.,GNQ,2004
719689,LKA_49_1994.txt.475,"shall strive to realize.""",LKA,1994
722721,MDG_49_1994.txt.257,made development the principal objective underlying its,MDG,1994
1592458,AZE_64_2009.txt.196,"systems, e-information resources and e-economies to",AZE,2009
1104364,CPV_55_2000.txt.7,work.,CPV,2000
647389,LBR_48_1993.txt.217,"begin immediately thereafter.""",LBR,1993
627015,DNK_48_1993.txt.250,the necessary flexibility in order to arrive at a solution they,DNK,1993
760745,BRN_50_1995.txt.1,As,BRN,1995
1738903,MNG_66_2011.txt.388,Assembly adopted the Declaration on the Rights of,MNG,2011
249471,YEM_35_1980.txt.36,"The stronger international support becomes for the cause of the Palestinians and the greater the sympathy for their struggle under the leadership of the PLO and for the struggle of the Arab peoples to free their occupied territories, the more the arrogance and aggressiveness of Israel increases and, at the same time, the more imperialist military, economic and diplomatic support is demonstrated for this shameful conduct.",YEM,1980
2028453,CYP_75_2020.txt.11,"We should rise to meet our shared responsibilities through collective leadership, reaffirm our commitment and restore the premises underlining effective multilateralism, joint responsibility and greater solidarity.",CYP,2020
1244393,MKD_57_2002.txt.7,session.,MKD,2002
1230341,GEO_57_2002.txt.206,Abkhaz administration in the Gali district under,GEO,2002
48476,PRY_27_1972.txt.98,"""4.",PRY,1972
1966160,MLT_71_2016.txt.20,"Closer cooperation among the countries of origin, transit and destination is essential and needed.",MLT,2016
1301184,MYS_58_2003.txt.65,"Today, we",MYS,2003
782295,ISL_50_1995.txt.215,the Convention on the Law of the Sea.,ISL,1995
1091723,ZMB_54_1999.txt.34,"Indeed, the world cannot but",ZMB,1999
804065,POL_50_1995.txt.306,We are,POL,1995
1040250,DNK_54_1999.txt.137,Pressure from the,DNK,1999
1453653,KNA_61_2006.txt.287,"However, we",KNA,2006
1496503,EST_62_2007.txt.40,Estonia believes that the best way forward is to tie,EST,2007
363413,BEL_38_1983.txt.90,The flow of refugees and the displacement of populations are particularly acute problems in Africa.,BEL,1983
991771,LBY_53_1998.txt.384,The international community,LBY,1998
1669998,IDN_65_2010.txt.43,the resolution of problems and not simply accentuate,IDN,2010
112614,NGA_30_1975.txt.126,"The problem of Zimbabwe is a great reminder, if indeed one is needed, of the great hurdle that still has to be surmounted before we see the end of racism and imperialism.",NGA,1975
798074,MYS_50_1995.txt.447,"payments by developing countries, not used for debt relief?",MYS,1995
781202,IRN_50_1995.txt.260,resulted in the failure of the Organization to resolve other,IRN,1995
1553468,GIN_63_2008.txt.276,country’s independence and its accession the United,GIN,2008
1797307,MEX_67_2012.txt.485,that drug addiction is the slavery of the twenty-first,MEX,2012
859403,LSO_51_1996.txt.287,While we recognize the important work of the,LSO,1996
558331,BGD_47_1992.txt.85,"fundamental freedoms, the promotion of sustainable economic and social",BGD,1992
436010,THA_40_1985.txt.77,"However there are matters that go beyond the pale of domestic jurisdiction which can worsen prospects for all, especially the developing countries.",THA,1985
661245,PAK_48_1993.txt.235,attempt to bludgeon the Kashmiri people into submission and,PAK,1993
325668,MDG_37_1982.txt.77,"because, for example, we thought that by",MDG,1982
1288914,IRN_58_2003.txt.29,The United States waged an unsanctioned war,IRN,2003
77453,BFA_29_1974.txt.7,We should also like to extend our warmest congratulations to the other officers.,BFA,1974
1071787,NER_54_1999.txt.338,"Africa, which now figures prominently",NER,1999
1925417,RUS_69_2014.txt.212,"Republic of Moldova and Georgia, would enjoy equal",RUS,2014
1776600,DJI_67_2012.txt.243,forces into a United Nations peacekeeping force now,DJI,2012
1427589,ALB_61_2006.txt.105, Albania believes that the main issue to be,ALB,2006
1714994,CPV_66_2011.txt.153,We are therefore concerned,CPV,2011
826182,BGD_51_1996.txt.362,"of proposals have been mooted, including a wide-ranging",BGD,1996
1809912,SLE_67_2012.txt.40,"uncertainties, the African continent continues to",SLE,2012
1202542,SLV_56_2001.txt.80,"unprecedented drop in international coffee prices, our",SLV,2001
1441855,EST_61_2006.txt.17,"areas, such as the establishment of the Human Rights",EST,2006
570761,ETH_47_1992.txt.265,"international political order, if we are to strengthen democracy and",ETH,1992
592822,NOR_47_1992.txt.117,starting-point for a serious discussion on how this can be achieved.,NOR,1992
762188,CAN_50_1995.txt.279,For Canada this report is only the first step in,CAN,1995
818933,VNM_50_1995.txt.355,political centres.,VNM,1995
507697,LSO_44_1989.txt.52,"At the same time, we urge that these environmental problems, urgent and serious as they are, not be compounded by the imposition of unfavourable conditions in the lending and other economic co-operation policies of the developed countries.",LSO,1989
412092,PRT_39_1984.txt.98,"For that reason, we believe that we are particularly able to understand the just aspirations of Africa, its desire for progress and its wish to preserve its roots in a rapidly changing world.",PRT,1984
1896678,EGY_69_2014.txt.195,"its capital, on the basis of the principles of the peace",EGY,2014
1320753,ZAF_58_2003.txt.273,which perpetuates their poverty.,ZAF,2003
1006421,PRK_53_1998.txt.3,"to congratulate Mr. Didier Opertti, Minister for Foreign",PRK,1998
182115,IRQ_33_1978.txt.54,In 1975 the industrial production of the third world did not exceed 10.3 per cent of the world's industrial production.,IRQ,1978
1968428,PRK_71_2016.txt.55,"“expressed their condemnation at the promulgation and application of unilateral coercive measures against countries of the Movement, in violation of the Charter of the United Nations and international law, particularly the principles of non-intervention, self-determination and independence of States”.",PRK,2016
333796,NLD_37_1982.txt.223,independence for the people of Namibia and for,NLD,1982
1703471,ALB_66_2011.txt.90,2010.,ALB,2011
124675,COL_31_1976.txt.50,"What can the world and the underdeveloped countries expect in the future if, in their dialog with the highly industrialized nations, they will not be dealing with the type of Governments which, because they were able to do so, imposed some discipline on the major private powers in their economies, on their monopolies, their labor and trade-union organizations and their transnational communication empires, but will instead be dealing with internally weakened Governments, Governments therefore fearful of those power groups?",COL,1976
1821403,YEM_67_2012.txt.134,reconciliation and developing the principles of a,YEM,2012
1739897,MUS_66_2011.txt.375,disputes.,MUS,2011
